date,exit,S,K,S_T,iv,prem,pnl,cap
2021-05-27,2021-06-03,15337.85,14570.96,15690.35,0.199,4.49,307.88,1000307.88
2021-06-03,2021-06-10,15690.35,14905.83,15737.75,0.158,0.88,59.23,1000367.11
2021-06-10,2021-06-17,15737.75,14950.86,15691.4,0.15,0.58,38.96,1000406.07
2021-06-17,2021-06-24,15691.4,14906.83,15790.45,0.153,0.69,46.09,1000452.17
2021-06-24,2021-07-01,15790.45,15000.93,15680.0,0.151,0.62,41.33,1000493.5
2021-07-01,2021-07-08,15680.0,14896.0,15727.9,0.128,0.12,8.17,1000501.66
2021-07-08,2021-07-15,15727.9,14941.51,15924.2,0.136,0.22,14.76,1000516.42
2021-07-15,2021-07-22,15924.2,15127.99,15824.05,0.123,0.07,4.79,1000521.22
2021-07-22,2021-07-29,15824.05,15032.85,15778.45,0.119,0.05,3.24,1000524.45
2021-07-29,2021-08-05,15778.45,14989.53,16294.6,0.129,0.13,8.99,1000533.44
2021-08-05,2021-08-12,16294.6,15479.87,16364.4,0.129,0.13,8.39,1000541.83
2021-08-12,2021-08-20,16364.4,15546.18,16450.5,0.124,0.17,10.94,1000552.77
2021-08-26,2021-09-02,16636.9,15805.06,17234.15,0.135,0.23,14.54,1000567.31
2021-09-02,2021-09-09,17234.15,16372.44,17369.25,0.142,0.39,24.08,1000591.39
2021-09-09,2021-09-16,17369.25,16500.79,17629.5,0.139,0.32,19.55,1000610.94
2021-09-16,2021-09-23,17629.5,16748.02,17822.95,0.144,0.45,26.97,1000637.91
2021-09-23,2021-09-30,17822.95,16931.8,17618.15,0.166,1.52,90.06,1000727.96
2021-09-30,2021-10-07,17618.15,16737.24,17790.35,0.184,3.14,187.66,1000915.62
2021-10-07,2021-10-14,17790.35,16900.83,18338.55,0.162,1.23,73.02,1000988.64
2021-10-14,2021-10-21,18338.55,17421.62,18178.1,0.158,1.04,59.89,1001048.54
2021-10-21,2021-10-28,18178.1,17269.19,17857.25,0.18,2.84,164.38,1001212.91
2021-10-28,2021-11-04,17857.25,16964.39,17916.8,0.179,2.65,156.46,1001369.38
2021-11-04,2021-11-11,17916.8,17020.96,17873.6,0.158,1.01,59.29,1001428.67
