date,exit,S,S_T,iv,prem,pnl,cap
2021-07-27,2021-08-05,15746.45,16294.6,0.132,261.57,-18225.19,981774.81
2021-08-16,2021-08-26,16563.05,16636.9,0.135,295.1,13103.63,994878.43
2021-08-27,2021-09-07,16705.2,17362.1,0.134,311.08,-20624.28,974254.15
2021-09-08,2021-09-20,17353.5,17396.9,0.144,362.58,17908.09,992162.24
2021-09-21,2021-09-30,17562.0,17618.15,0.165,363.89,17373.67,1009535.91
2021-10-01,2021-10-12,17532.05,17991.95,0.172,418.4,-2414.72,1007121.19
2021-10-20,2021-10-29,18266.6,17671.65,0.183,419.35,-9709.79,997411.4
2021-11-22,2021-12-01,17416.55,17166.9,0.175,382.64,7597.71,1005009.11
2021-12-03,2021-12-14,17196.7,17324.9,0.185,439.84,18196.44,1023205.55
2021-12-20,2021-12-29,16614.2,17213.6,0.19,395.12,-12611.67,1010593.88
2022-01-05,2022-01-14,17925.25,18255.75,0.172,387.32,3182.94,1013776.83
2022-01-18,2022-01-28,18113.05,17101.95,0.178,425.71,-32804.5,980972.32
2022-01-31,2022-02-09,17339.85,17463.8,0.22,476.97,19954.65,1000926.97
2022-02-14,2022-02-23,16842.8,17063.25,0.23,484.99,15700.26,1016627.23
2022-02-24,2022-03-08,16247.95,16013.45,0.32,751.33,32307.06,1048934.29
2022-03-09,2022-03-21,16345.35,17117.6,0.275,649.42,-7927.81,1041006.48
2022-04-25,2022-05-05,16953.95,16682.65,0.213,476.18,12557.39,1053563.87
2022-05-06,2022-05-17,16411.25,16259.3,0.212,483.23,21246.9,1074810.76
2022-05-18,2022-05-27,16240.3,16352.45,0.223,453.84,22594.56,1097405.32
2022-06-16,2022-06-27,15360.6,15832.05,0.229,486.67,1053.46,1098458.78
2022-06-29,2022-07-08,15799.1,16220.6,0.219,433.6,811.83,1099270.6
2022-08-02,2022-08-12,17345.45,17698.15,0.185,424.8,4544.5,1103815.1
2022-08-22,2022-09-01,17490.7,17542.8,0.19,440.1,24470.83,1128285.93
2022-09-02,2022-09-13,17539.45,18070.05,0.195,475.26,-3592.54,1124693.39
2022-09-16,2022-09-27,17530.85,17007.4,0.198,481.56,-2719.46,1121973.93
2022-09-28,2022-10-10,16858.6,17241.0,0.221,539.17,10402.37,1132376.3
