entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2021-06-28,2021-06-29,1,15814.7,15782.37,15896.67,15932.98,15782.37,309.2909,SL,-10000.0,4886.34,-14886.34,-0.2044,985113.66
2021-06-30,2021-07-01,1,15721.5,15687.33,15814.88,15881.32,15687.33,288.2993,SL,-9851.14,4527.57,-14378.71,-0.2173,970734.95
2021-07-09,2021-07-14,3,15689.8,15629.64,15848.13,15968.37,15848.13,161.3556,R1,25548.02,2544.41,23003.61,1.0092,993738.55
2021-07-26,2021-07-27,1,15824.45,15767.25,15914.43,15972.82,15767.25,173.7314,SL,-9937.39,2744.24,-12681.62,-0.3615,981056.93
2021-07-28,2021-07-30,2,15709.4,15655.45,15851.67,15956.88,15851.67,181.8299,R1,25868.27,2869.37,22998.89,0.9056,1004055.83
2021-08-06,2021-08-09,1,16238.2,16203.9,16359.27,16423.93,16203.9,292.6927,SL,-10040.56,4747.78,-14788.34,-0.2113,989267.49
2021-08-18,2021-08-20,1,16568.85,16513.95,16663.63,16712.67,16513.95,180.2042,SL,-9892.67,2980.83,-12873.51,-0.3313,976393.98
2021-09-07,2021-09-08,1,17362.1,17321.71,17423.05,17468.3,17321.71,241.7542,SL,-9763.94,4192.48,-13956.42,-0.2326,962437.56
2021-09-17,2021-09-20,1,17585.15,17527.55,17679.25,17729.0,17527.55,167.1018,SL,-9624.38,2933.7,-12558.07,-0.3275,949879.49
2021-09-30,2021-10-01,1,17618.15,17601.43,17792.65,17874.0,17601.43,568.1553,SL,-9498.79,10005.1,-19503.89,-0.0949,930375.6
2021-10-19,2021-10-20,1,18418.75,18415.42,18531.7,18586.35,18415.42,2791.4566,SL,-9303.76,51410.49,-60714.25,-0.0181,869661.35
2021-10-21,2021-10-22,1,18178.1,18146.37,18413.48,18560.37,18146.37,274.068,SL,-8696.61,4977.69,-13674.3,-0.1746,855987.05
2021-11-03,2021-11-08,2,17829.2,17802.46,17984.93,18080.92,18080.92,320.1514,R2,80587.68,5748.34,74839.35,1.4118,930826.4
2021-11-10,2021-11-11,1,18017.2,17962.69,18110.22,18176.18,17962.69,170.7545,SL,-9308.26,3071.86,-12380.13,-0.3026,918446.27
2021-12-14,2021-12-15,1,17324.9,17252.36,17553.18,17738.12,17252.36,126.6173,SL,-9184.46,2189.04,-11373.5,-0.4187,907072.77
2021-12-24,2021-12-27,1,17003.75,17002.2,17122.32,17172.03,17002.2,5842.9601,SL,-9070.73,99347.7,-108418.43,-0.0091,798654.34
2022-01-21,2022-01-24,1,17617.15,17604.78,17917.65,18078.3,17604.78,645.4789,SL,-7986.54,11367.51,-19354.05,-0.0702,779300.29
2022-01-27,2022-02-01,3,17110.15,16956.48,17445.8,17613.65,17613.65,50.7113,R2,25533.09,880.44,24652.65,2.9427,803952.94
2022-02-04,2022-02-07,1,17516.3,17436.4,17723.85,17887.5,17436.4,100.6136,SL,-8039.53,1758.36,-9797.89,-0.4562,794155.06
2022-02-17,2022-02-21,2,17304.6,17205.84,17455.97,17589.73,17205.84,80.4151,SL,-7941.55,1387.58,-9329.13,-0.5707,784825.93
2022-02-22,2022-02-23,1,17092.2,17050.81,17348.23,17489.82,17050.81,189.6434,SL,-7848.26,3237.5,-11085.76,-0.2421,773740.17
2022-03-24,2022-03-25,1,17222.75,17132.22,17392.17,17538.68,17132.22,85.4651,SL,-7737.4,1468.08,-9205.48,-0.5257,764534.69
2022-04-11,2022-04-12,1,17674.95,17624.71,17884.55,17984.75,17624.71,152.1725,SL,-7645.35,2685.82,-10331.17,-0.2843,754203.52
2022-04-13,2022-04-18,1,17475.65,17432.55,17602.95,17675.6,17432.55,174.9876,SL,-7542.04,3054.25,-10596.29,-0.2466,743607.24
2022-08-25,2022-08-26,1,17522.45,17510.72,17652.65,17700.35,17652.65,634.0379,R1,82552.07,11151.17,71400.9,0.743,815008.13
2022-09-01,2022-09-02,1,17542.8,17497.14,17890.8,18022.3,17497.14,178.4753,SL,-8150.08,3126.88,-11276.96,-0.2603,803731.17
2022-09-07,2022-09-08,1,17624.4,17556.38,17750.95,17846.3,17750.95,118.1532,R1,14952.23,2089.86,12862.37,0.718,816593.54
2022-09-21,2022-09-22,1,17718.35,17716.27,17908.9,18001.55,17716.27,3919.1297,SL,-8165.94,69436.43,-77602.36,-0.0118,738991.18
2022-09-27,2022-09-28,1,17007.4,16914.0,17149.03,17281.77,16914.0,79.1236,SL,-7389.91,1341.99,-8731.9,-0.5492,730259.28
2022-10-07,2022-10-10,1,17314.65,17271.41,17401.85,17471.9,17271.41,168.8907,SL,-7302.59,2920.63,-10223.23,-0.2497,720036.05
