entry_date,exit_date,bars_held,entry,sl,r1,r2,exit,qty,exit_reason,gross_pnl,costs,net_pnl,pct_return,capital_after
2021-06-28,2021-06-29,1,15814.7,15782.37,15896.67,15932.98,15782.37,309.2909,SL,-10000.0,4886.34,-14886.34,-0.2044,985113.66
2021-06-30,2021-07-01,1,15721.5,15687.33,15814.88,15881.32,15687.33,288.2993,SL,-9851.14,4527.57,-14378.71,-0.2173,970734.95
2021-07-09,2021-07-14,3,15689.8,15629.64,15848.13,15968.37,15848.13,161.3556,R1,25548.02,2544.41,23003.61,1.0092,993738.55
2021-07-26,2021-07-27,1,15824.45,15767.25,15914.43,15972.82,15767.25,173.7314,SL,-9937.39,2744.24,-12681.62,-0.3615,981056.93
2021-07-28,2021-07-30,2,15709.4,15655.45,15851.67,15956.88,15851.67,181.8299,R1,25868.27,2869.37,22998.89,0.9056,1004055.83
2021-09-30,2021-10-01,1,17618.15,17601.43,17792.65,17874.0,17601.43,600.56,SL,-10040.56,10575.74,-20616.29,-0.0949,983439.53
2021-10-21,2021-10-22,1,18178.1,18146.37,18413.48,18560.37,18146.37,309.9244,SL,-9834.4,5628.92,-15463.32,-0.1746,967976.22
2021-11-03,2021-11-08,2,17829.2,17802.46,17984.93,18080.92,18080.92,362.0369,R2,91131.0,6500.39,84630.61,1.4118,1052606.83
2021-11-10,2021-11-11,1,18017.2,17962.69,18110.22,18176.18,17962.69,193.0943,SL,-10526.07,3473.76,-13999.82,-0.3026,1038607.0
2021-12-14,2021-12-15,1,17324.9,17252.36,17553.18,17738.12,17252.36,143.1826,SL,-10386.07,2475.43,-12861.5,-0.4187,1025745.5
2021-12-24,2021-12-27,1,17003.75,17002.2,17122.32,17172.03,17002.2,6607.3972,SL,-10257.46,112345.4,-122602.86,-0.0091,903142.65
2022-01-21,2022-01-24,1,17617.15,17604.78,17917.65,18078.3,17604.78,729.9272,SL,-9031.43,12854.72,-21886.15,-0.0702,881256.5
2022-01-27,2022-02-01,3,17110.15,16956.48,17445.8,17613.65,17613.65,57.3459,R2,28873.6,995.63,27877.97,2.9427,909134.46
2022-02-04,2022-02-07,1,17516.3,17436.4,17723.85,17887.5,17436.4,113.7769,SL,-9091.34,1988.4,-11079.75,-0.4562,898054.71
2022-02-17,2022-02-21,2,17304.6,17205.84,17455.97,17589.73,17205.84,90.9359,SL,-8980.55,1569.12,-10549.67,-0.5707,887505.05
2022-02-22,2022-02-23,1,17092.2,17050.81,17348.23,17489.82,17050.81,214.4546,SL,-8875.05,3661.06,-12536.11,-0.2421,874968.94
2022-03-24,2022-03-25,1,17222.75,17132.22,17392.17,17538.68,17132.22,96.6466,SL,-8749.69,1660.15,-10409.83,-0.5257,864559.1
2022-04-11,2022-04-12,1,17674.95,17624.71,17884.55,17984.75,17624.71,172.0813,SL,-8645.59,3037.21,-11682.8,-0.2843,852876.3
2022-04-13,2022-04-18,1,17475.65,17432.55,17602.95,17675.6,17432.55,197.8813,SL,-8528.76,3453.84,-11982.6,-0.2466,840893.7
2022-08-25,2022-08-26,1,17522.45,17510.72,17652.65,17700.35,17652.65,716.9894,R1,93352.39,12610.09,80742.31,0.743,921636.01
2022-09-01,2022-09-02,1,17542.8,17497.14,17890.8,18022.3,17497.14,201.8253,SL,-9216.36,3535.97,-12752.33,-0.2603,908883.67
2022-09-07,2022-09-08,1,17624.4,17556.38,17750.95,17846.3,17750.95,133.6113,R1,16908.44,2363.27,14545.17,0.718,923428.84
2022-09-21,2022-09-22,1,17718.35,17716.27,17908.9,18001.55,17716.27,4431.8712,SL,-9234.29,78520.83,-87755.11,-0.0118,835673.72
2022-09-27,2022-09-28,1,17007.4,16914.0,17149.03,17281.77,16914.0,89.4754,SL,-8356.74,1517.56,-9874.3,-0.5492,825799.42
2022-10-07,2022-10-10,1,17314.65,17271.41,17401.85,17471.9,17271.41,190.9868,SL,-8257.99,3302.74,-11560.73,-0.2497,814238.69
2022-10-13,2022-10-14,1,17014.35,16991.31,17190.62,17257.63,17257.63,353.3889,R2,85973.35,6055.67,79917.68,1.4299,894156.37
2022-11-18,2022-11-21,1,18307.65,18280.4,18403.35,18462.8,18280.4,328.1402,SL,-8941.56,6003.0,-14944.57,-0.1488,879211.8
2022-12-06,2022-12-07,1,18642.75,18600.11,18755.98,18810.92,18600.11,206.2183,SL,-8792.12,3840.08,-12632.2,-0.2287,866579.6
2022-12-22,2022-12-23,1,18127.35,18065.37,18394.05,18589.0,18065.37,139.8088,SL,-8665.8,2530.03,-11195.83,-0.3419,855383.77
2023-01-05,2023-01-06,1,17992.15,17943.4,18183.77,18324.58,17943.4,175.4782,SL,-8553.84,3152.95,-11706.79,-0.2709,843676.98
